"Nodos";"	";"Aristas";"	";"compCon";"	";"Peso";"	";"Comparaciones";"	";"Tiempo"
20;"	";92;"	";1;"	";186;"	";21410;"	";0.05
25;"	";138;"	";1;"	";222;"	";32019;"	";0.04
30;"	";194;"	";1;"	";254;"	";259631;"	";0.03
35;"	";272;"	";1;"	";285;"	";522459;"	";0.12
40;"	";346;"	";1;"	";289;"	";3515403;"	";0.11
45;"	";440;"	";1;"	";304;"	";7337493;"	";0.22
50;"	";538;"	";1;"	";346;"	";18868954;"	";0.53
55;"	";658;"	";1;"	";334;"	";40469464;"	";1.11
60;"	";770;"	";1;"	";328;"	";96591671;"	";2.57
65;"	";930;"	";1;"	";406;"	";299721030;"	";7.06
;;;;;;;;;;
;;;;"Constructiva";;;;;;
;;;;;;;;;;
"Nodos";"	";"Aristas";"	";"compCon";"	";"Peso";"	";"Comparaciones";"	";"Tiempo"
20;"	";92;"	";0;"	";180;"	";236;"	";0
25;"	";138;"	";0;"	";222;"	";336;"	";0
30;"	";194;"	";0;"	";198;"	";312;"	";0
35;"	";272;"	";0;"	";277;"	";484;"	";0
40;"	";346;"	";0;"	";271;"	";477;"	";0
45;"	";440;"	";0;"	";254;"	";514;"	";0
50;"	";538;"	";0;"	";290;"	";598;"	";0
55;"	";658;"	";0;"	";286;"	";670;"	";0
60;"	";770;"	";0;"	";300;"	";1199;"	";0
65;"	";930;"	";0;"	";400;"	";901;"	";0
