"Nodos";"	";"Aristas";"	";"compCon";"	";"Peso";"	";"Comparaciones";"	";"Tiempo";;;
10;"	";30;"	";1;"	";409;"	";327;"	";0.01;;"Nodos";"Comparaciones"
20;"	";134;"	";1;"	";402;"	";4650;"	";0.01;;10;327
30;"	";294;"	";1;"	";595;"	";95520;"	";0.09;;20;4650
40;"	";514;"	";1;"	";712;"	";436783;"	";0.03;;30;95520
50;"	";832;"	";1;"	";693;"	";2910256;"	";0.09;;40;436783
60;"	";1136;"	";1;"	";772;"	";9853508;"	";0.24;;50;2910256
70;"	";1634;"	";1;"	";896;"	";32521513;"	";0.78;;60;9853508
80;"	";2084;"	";1;"	";836;"	";94463237;"	";2.23;;70;32521513
90;"	";2624;"	";1;"	";903;"	";366027148;"	";7.76;;80;94463237
100;"	";3230;"	";1;"	";887;"	";548080753;"	";10.83;;90;366027148
;;;;;;;;;;;;100;548080753
