"Nodos";"	";"Aristas";"	";"compCon";"	";"Peso";"	";"Comparaciones";"	";"Tiempo";;"Porcentage ";"Promedio comparaciones"
40;"	";152;"	";1;"	";1336;"	";61018440;"	";3.4;;10;27204868
40;"	";284;"	";1;"	";1007;"	";4446252;"	";0.22;;20;3715848
40;"	";402;"	";1;"	";842;"	";672570;"	";0.03;;30;1117865
40;"	";510;"	";1;"	";746;"	";587403;"	";0.03;;40;633121
40;"	";612;"	";1;"	";679;"	";322807;"	";0.02;;50;326358
40;"	";698;"	";1;"	";679;"	";185011;"	";0.02;;60;202748
40;"	";770;"	";1;"	";539;"	";167727;"	";0.02;;70;135166
40;"	";842;"	";1;"	";539;"	";106070;"	";0.02;;80;85109
40;"	";916;"	";1;"	";422;"	";87168;"	";0.02;;90;69649
40;;980;;1;;376;;62394;;0.2;;100;56406
;;;;;;;;;;;;;
"Nodos";"	";"Aristas";"	";"compCon";"	";"Peso";"	";"Comparaciones";"	";"Tiempo";;"Aca poner en eje x los porcentajes y ademas no hacer el grafico que sea una linea sino que sean puntos aislados";
40;"	";150;"	";1;"	";1610;"	";54368056;"	";2;;;
40;"	";280;"	";1;"	";1051;"	";7493826;"	";0.23;;;
40;"	";402;"	";1;"	";901;"	";2452113;"	";0.06;;;
40;"	";516;"	";1;"	";725;"	";947632;"	";0.03;;;
40;"	";614;"	";1;"	";663;"	";418185;"	";0.02;;;
40;"	";694;"	";1;"	";555;"	";264782;"	";0.03;;;
40;"	";774;"	";1;"	";503;"	";169674;"	";0.01;;;
40;"	";838;"	";1;"	";483;"	";90859;"	";0.01;;;
40;"	";898;"	";1;"	";414;"	";77945;"	";0.01;;;
40;"	";964;"	";1;"	";413;"	";52341;"	";0.02;;;
;;;;;;;;;;;;;
"Nodos";"	";"Aristas";"	";"compCon";"	";"Peso";"	";"Comparaciones";"	";"Tiempo";;;
40;"	";150;"	";1;"	";1625;"	";2990760;"	";0.11;;;
40;"	";276;"	";1;"	";1103;"	";3939906;"	";0.1;;;
40;"	";392;"	";1;"	";807;"	";910367;"	";0.03;;;
40;"	";500;"	";1;"	";660;"	";420850;"	";0.02;;;
40;"	";600;"	";1;"	";619;"	";307486;"	";0.02;;;
40;"	";698;"	";1;"	";580;"	";191191;"	";0.01;;;
40;"	";788;"	";1;"	";507;"	";118105;"	";0.01;;;
40;"	";872;"	";1;"	";495;"	";75171;"	";0.01;;;
40;"	";934;"	";1;"	";434;"	";64140;"	";0.01;;;
40;"	";982;"	";1;"	";378;"	";54591;"	";0.01;;;
;;;;;;;;;;;;;
"Nodos";"	";"Aristas";"	";"compCon";"	";"Peso";"	";"Comparaciones";"	";"Tiempo";;;
40;"	";152;"	";1;"	";1381;"	";8997854;"	";0.27;;;
40;"	";284;"	";1;"	";954;"	";1272239;"	";0.04;;;
40;"	";408;"	";1;"	";898;"	";756214;"	";0.03;;;
40;"	";512;"	";1;"	";715;"	";688289;"	";0.02;;;
40;"	";608;"	";1;"	";571;"	";309746;"	";0.02;;;
40;"	";674;"	";1;"	";514;"	";213816;"	";0.01;;;
40;"	";760;"	";1;"	";468;"	";114593;"	";0.01;;;
40;"	";822;"	";1;"	";455;"	";78978;"	";0.01;;;
40;"	";900;"	";1;"	";441;"	";60746;"	";0.01;;;
40;"	";946;"	";1;"	";407;"	";64339;"	";0.01;;;
;;;;;;;;;;;;;
"Nodos";"	";"Aristas";"	";"compCon";"	";"Peso";"	";"Comparaciones";"	";"Tiempo";;;
40;"	";150;"	";1;"	";1565;"	";8649231;"	";0.26;;;
40;"	";276;"	";1;"	";1231;"	";1427018;"	";0.04;;;
40;"	";400;"	";1;"	";851;"	";798061;"	";0.03;;;
40;"	";508;"	";1;"	";745;"	";521431;"	";0.02;;;
40;"	";608;"	";1;"	";658;"	";273566;"	";0.02;;;
40;"	";700;"	";1;"	";568;"	";158938;"	";0.01;;;
40;"	";774;"	";1;"	";485;"	";105732;"	";0.01;;;
40;"	";848;"	";1;"	";485;"	";74465;"	";0.01;;;
40;"	";914;"	";1;"	";400;"	";58247;"	";0.01;;;
40;"	";966;"	";1;"	";400;"	";48365;"	";0.01;;;
